,myear,fuel,km,owner,transmission,brand,model,variant,price,city
0,2016,Petrol,"81,674 Kms",1st Owner,Manual,2016 Maruti Wagon R,2016 Maruti Wagon R,VXI,"3,60,000",Ahmedabad
1,2012,Petrol,"89,579 Kms",1st Owner,Manual,2012 Maruti Alto K10,2012 Maruti Alto K10,LXI,"1,77,500",Ahmedabad
2,2011,Petrol,"38,647 Kms",1st Owner,Manual,2011 Honda City,2011 Honda City,1.5 V MT,"3,99,500",Ahmedabad
3,2019,Petrol,"9,718 Kms",1st Owner,Manual,2019 Maruti Swift Dzire,2019 Maruti Swift Dzire,VXI 1.2,"6,65,000",Ahmedabad
4,2019,Petrol,"24,230 Kms",1st Owner,Manual,2019 Maruti S-Presso,2019 Maruti S-Presso,VXI,"4,22,000",Ahmedabad
5,2016,Diesel,"74,431 Kms",2nd Owner,Manual,2016 Nissan Terrano,2016 Nissan Terrano,XL Plus 85 PS,"4,70,500",Ahmedabad
6,2013,Diesel,"94,754 Kms",2nd Owner,Manual,2013 Toyota Innova,2013 Toyota Innova,2.5 VX (Diesel) 8 Seater,"6,70,500",Ahmedabad
7,2018,Diesel,"97,922 Kms",1st Owner,Manual,2019 Volkswagen Vento,2019 Volkswagen Vento,1.5 TDI Highline,"7,11,000",Ahmedabad
8,2017,Petrol,"88,362 Kms",1st Owner,Manual,2017 Maruti Eeco,2017 Maruti Eeco,5 Seater AC,"3,97,000",Ahmedabad
9,2020,Petrol,"19,627 Kms",1st Owner,Manual,2020 Maruti Eeco,2020 Maruti Eeco,5 Seater AC,"4,69,500",Ahmedabad
10,2012,Petrol,"57,341 Kms",1st Owner,Manual,2012 Maruti Eeco,2012 Maruti Eeco,5 Seater AC,"2,79,000",Ahmedabad
11,2020,Petrol,"17,116 Kms",1st Owner,Manual,2020 Maruti Eeco,2020 Maruti Eeco,5 Seater AC,"4,72,000",Ahmedabad
12,2019,Petrol,"14,161 Kms",1st Owner,Manual,2019 Maruti Eeco,2019 Maruti Eeco,5 Seater AC BSIV,"4,57,000",Ahmedabad
13,2014,Petrol,"131,125 Kms",1st Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,VXI,"2,94,500",Ahmedabad
14,2017,Diesel,"67,000 kms",First Owner,Manual,Honda Jazz 1.5 V i DTEC,Honda Jazz 1.5 V i DTEC,NaN,5.49 Lakh*,Ahmedabad
15,2011,Petrol,"59,702 kms",Second Owner,Manual,Chevrolet Spark 1.0 LS,Chevrolet Spark 1.0 LS,NaN,"55,000*",Ahmedabad
16,2015,Diesel,"70,000 kms",First Owner,Manual,Hyundai Xcent 1.1 CRDi S Option,Hyundai Xcent 1.1 CRDi S Option,NaN,4.74 Lakh*,Ahmedabad
17,2015,Diesel,"60,603 kms",First Owner,Manual,Hyundai i20 Active 1.4 SX,Hyundai i20 Active 1.4 SX,NaN,4.9 Lakh*,Ahmedabad
18,2015,Diesel,"70,000 kms",First Owner,Manual,Maruti Swift VDI,Maruti Swift VDI,NaN,4.49 Lakh*,Ahmedabad
19,2012,Diesel,"1,45,814 kms",First Owner,Manual,Hyundai i20 1.4 CRDi Sportz,Hyundai i20 1.4 CRDi Sportz,NaN,2.36 Lakh*,Ahmedabad
20,2017,Petrol,"41,174 Kms",1st Owner,Automatic,2017 Maruti Wagon R,2017 Maruti Wagon R,AMT VXI,"4,30,000",Ahmedabad
21,2016,Petrol,"45,347 Kms",1st Owner,Manual,2016 Maruti Eeco,2016 Maruti Eeco,5 Seater AC BSIV,"3,80,500",Ahmedabad
22,2017,Petrol,"43,031 Kms",1st Owner,Manual,2017 Maruti Wagon R,2017 Maruti Wagon R,VXI Plus,"3,87,000",Ahmedabad
23,2018,Diesel,"31,694 Kms",1st Owner,Manual,2018 Maruti Swift,2018 Maruti Swift,VDI,"5,85,000",Ahmedabad
24,2014,Petrol,"42,381 Kms",1st Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,VXI,"3,28,500",Ahmedabad
25,2013,Diesel,"72,301 Kms",1st Owner,Manual,2013 Maruti Swift,2013 Maruti Swift,ZDi,"3,99,000",Ahmedabad
26,2011,Petrol,"60,689 Kms",1st Owner,Manual,2011 Maruti Wagon R,2011 Maruti Wagon R,LXI BS IV,"2,67,500",Ahmedabad
27,2013,Petrol,"85,416 Kms",2nd Owner,Manual,2014 Maruti Wagon R,2014 Maruti Wagon R,LXI BS IV,"2,79,500",Ahmedabad
28,2019,Petrol,"11,935 Kms",1st Owner,Manual,2020 Maruti Swift Dzire,2020 Maruti Swift Dzire,VXI 1.2,"6,95,000",Ahmedabad
29,2015,Diesel,"54,419 Kms",1st Owner,Manual,2015 Maruti Swift Dzire,2015 Maruti Swift Dzire,VDI,"4,91,500",Ahmedabad
30,2016,Petrol,"45,090 Kms",2nd Owner,Manual,2016 Maruti Swift,2016 Maruti Swift,VXI Optional,"4,64,000",Ahmedabad
31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ahmedabad
32,2012,Diesel,"80,084 Kms",1st Owner,Manual,2013 Maruti Swift Dzire,2013 Maruti Swift Dzire,VDI,"3,40,500",Ahmedabad
33,2016,Petrol,"51,069 Kms",1st Owner,Manual,2016 Maruti Baleno,2016 Maruti Baleno,1.2 Delta,"4,82,500",Ahmedabad
34,2017,Petrol,"49,072 Kms",1st Owner,Manual,2017 Maruti Baleno,2017 Maruti Baleno,Alpha,"6,10,000",Ahmedabad
35,2020,Petrol,"10,371 Kms",1st Owner,Manual,2020 Maruti Wagon R,2020 Maruti Wagon R,LXI,"5,06,500",Ahmedabad
36,2016,Diesel,"42,029 Kms",1st Owner,Manual,2016 Ford Ecosport,2016 Ford Ecosport,1.5 TDCi Trend BSIV,"5,89,500",Ahmedabad
